id,title,chart_rank,chart_date,artist,url,region,chart,trend,streams,track_id,album,popularity,duration_ms,explicit,release_date,available_markets,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,predicted_popularity,is_popular
284GAm4vx8OnPIV9fR3uJl,A Viagem,0,,,,,,0,0.0,284GAm4vx8OnPIV9fR3uJl,,0,125250,0,,,0.675000011920929,0.6669999957084656,1,-11.265999794006348,0,0.069300003349781,0.1589999943971634,0.7440000176429749,0.4539999961853027,0.6880000233650208,96.06199645996094,4,1,0
74Gx4wKrIvPx1QAWQieIk4,Back in the Day,0,,,,,,0,0.0,74Gx4wKrIvPx1QAWQieIk4,,0,170737,0,,,0.6990000009536743,0.640999972820282,1,-6.590000152587891,0,0.4289999902248382,0.1319999992847442,0.0,0.2910000085830688,0.5960000157356262,88.73300170898438,4,1,0
2he2NwKzEz6YYxnC7v9zIJ,Honky Tonk Heroes (Like Me),0,,,,,,0,0.0,2he2NwKzEz6YYxnC7v9zIJ,,0,210933,0,,,0.6919999718666077,0.7239999771118164,2,-7.473000049591064,1,0.0516000017523765,0.1289999932050705,1.5099999473e-06,0.0599999986588954,0.5230000019073486,110.97100067138672,4,1,0
6J1cRO7VdHCog9UC841KoV,Aspettando,0,,,,,,0,0.0,6J1cRO7VdHCog9UC841KoV,,0,287920,0,,,0.734000027179718,0.6620000004768372,4,-11.005000114440918,0,0.0612000003457069,0.2829999923706054,0.0,0.0753000006079673,0.6909999847412109,116.94100189208984,4,1,0
2d4rnjrHTPdLTFRGz4ccim,La Tormenta,0,,,,,,0,0.0,2d4rnjrHTPdLTFRGz4ccim,,0,275346,0,,,0.7950000166893005,0.6399999856948853,5,-9.944000244140623,1,0.0480000004172325,0.1369999945163726,0.0,0.2399999946355819,0.6589999794960022,126.0510025024414,4,1,0
3l6SZxW3aPbFidWRZmVGOO,Gievrie -the Return,0,,,,,,0,0.0,3l6SZxW3aPbFidWRZmVGOO,,0,213493,0,,,0.6869999766349792,0.6460000276565552,7,-9.470999717712402,1,0.0702999979257583,0.2800000011920929,0.0219999998807907,0.3810000121593475,0.6690000295639038,100.33699798583984,4,1,0
4tALpJ7peWWLCpOFLNOpOY,Joy To The World,0,,,,,,0,0.0,4tALpJ7peWWLCpOFLNOpOY,,0,208000,0,,,0.6809999942779541,0.652999997138977,2,-10.279000282287598,1,0.0329000018537044,0.1700000017881393,0.574999988079071,0.1420000046491623,0.531000018119812,120.0,4,1,0
1QyoIyEvdW0lESx2c8Y33N,Fade Away (feat. Primo & Tre),0,,,,,,0,0.0,1QyoIyEvdW0lESx2c8Y33N,,0,284000,1,,,0.7419999837875366,0.6850000023841858,6,-5.559000015258789,1,0.3420000076293945,0.1889999955892563,0.0,0.9039999842643738,0.6439999938011169,140.04800415039062,4,1,0
6maetqPFnDTwldp4kjyJWK,Machineo y Alcohol,0,,,,,,0,0.0,6maetqPFnDTwldp4kjyJWK,,0,198480,1,,,0.7879999876022339,0.6970000267028809,4,-6.451000213623047,1,0.1089999973773956,0.0829000025987625,0.0,0.0869999974966049,0.7210000157356262,91.98699951171876,4,1,0
3ENWvtIos6ZOMiJ0xuE20S,Ndakura Wani,0,,,,,,0,0.0,3ENWvtIos6ZOMiJ0xuE20S,,0,263600,0,,,0.746999979019165,0.7120000123977661,9,-9.699000358581545,1,0.049600001424551,0.1959999948740005,1.03000002127e-05,0.1509999930858612,0.7059999704360962,127.46499633789062,3,1,0
